SERIES,SHOT,YEAR,MON,LAT,LONG,HOB,TYPE,PUR,CRAT,DEVIC,WARHEAD
Hurricane,Hurricane              1,1952,OCT,-20.397,115.5584,-2.7,AW-BG,WE,270,,Blue Danube?
Totem,Totem T1,1953,OCT,-28.6985,132.3716,31,AS-T,WR,,IP,Blue Danube?
Totem,Totem T2,1953,OCT,-28.7123,132.3773,31,AS-T,WR,,IP,
Mosaic,Mosaic G1,1956,MAY,-20.3819,115.5479,31,AS-T,WR?,,,
Mosaic,Mosaic G2,1956,JUN,-20.4061,115.5361,31,AS-T,,,,Red Beard
Buffalo,Buffalo R1/One Tree,1956,SEP,-29.8688,131.6594,31,AS-T,,,IP,Blue Danube
Buffalo,Buffalo R2/Marcoo,1956,OCT,-29.8818,131.6247,0.2,AS,WE,50,IU,Blue Danube
Buffalo,Buffalo R3/Kite,1956,OCT,-29.888,131.65,150,A-AD,WR,,,Red Beard
Buffalo,Buffalo R4/Breakaway,1956,OCT,-29.8929,131.6048,31,AS-T,,,,
Grapple,Grapple 1/Short Granite,1957,MAY,-4.05,-154.9,2400,A-AD,WR?,,SL?,
Grapple,Grapple 2/Orange Herald,1957,MAY,-4.05,-154.9,2300,A-AD,WR?,,SL?,
Grapple,Grapple 3/Purple Granit,1957,JUN,-4.05,-154.9,2300,A-AD,WR?,,SL?,
Antler,Antler Round 1/Tadje,1957,SEP,-29.8898,131.6467,31,AS-T,WR?,,IP,
Antler,Antler Round 2/Biak,1957,SEP,-29.8926,131.6176,31,AS-T,WR?,,IP,
Antler,Antler Round 3/Taranaki,1957,OCT,-29.8948,131.5916,300,A-B,WR?,,PR,
Grapple X,Grapple X/Round C,1957,NOV,1.67,-157.25,2250,A-AD,WR,,TN?,
Grapple Y,Grapple Y,1958,APR,1.67,-157.25,2350,A-AD,WR,,TN,
Grapple Z,Grapple Z/Pennant 2,1958,AUG,1.67,-157.25,450,A-B,WR,,PR,
Grapple Z,Grapple Z/Flagpole 1,1958,SEP,1.67,-157.25,2850,A-AD,WR,,TN,
Grapple Z,Grapple Z/Halliard 1,1958,SEP,1.67,-157.25,2650,A-AD,WR,,,
Grapple Z,Grapple Z/Burgee 2,1958,SEP,1.67,-157.25,450,A-B,WR,,,
Nougat,Pampas,1962,MAR,37.04128,-116.02867,-363.14,UG-S,,198,Ci,
Storax,Tendrac,1962,DEC,37.05175,-116.02931,-302.67,UG-S,,155,,
Whetstone,Cormorant,1964,JUL,37.01761,-116.02956,-271.64,UG-S,,,Ci,
Whetstone,Courser,1964,SEP,37.07247,-116.01539,-358.99,UG-S,,,,Polaris WH?
Flintlock,Charcoal,1965,SEP,37.07797,-116.01672,-455.44,UG-S,WR,298,,Chevaline WH?
Arbor,Fallon,1974,MAY,37.12449,-116.07888,-466.04,UG-S,WR,190,Ci,Chevaline WH?
Anvil,Banon,1976,AUG,37.12501,-116.082,-536.4,UG-S,WR,230,i,Chevaline WH?
Cresset,Fondutta,1978,APR,37.29963,-116.3267,-633.07,UG-S,WR,,,
Quicksilve,Quargel,1978,NOV,37.12687,-116.08387,-542,UG-S,,190,i,
Quicksilve,Nessel,1979,AUG,37.12122,-116.06659,-464,UG-S,,190,,
Tinderbox,Colwick,1980,APR,37.24843,-116.4224,-633,UG-S,,,,
Guardian,Dutchess,1980,OCT,37.07458,-115.99926,-426.72,UG-S,,,,
Guardian,Serpa,1980,DEC,37.32478,-116.31173,-572.7,UG-S,,,,
