SERIES,SHOT,YEAR,MON,LAT,LONG,HOB,TYPE,PUR,CRAT,DEVIC,WARHEAD
Trinity,Trinity,1945,JUL,33.6753,-106.4747,30,AS-T,WR,152,IP,Fat Man
Alberta,Little Boy,1945,AUG,34.3914,132.4581,580,A-AD,C,,,Little Bo
Alberta,Fat Man,1945,AUG,32.7702,129.8657,503,A-AD,C,,,Mk-3
Crossroads,Able,1946,JUN,11.58,165.5,158,A-AD,WE,,IP,Mk-3A
Crossroads,Baker,1946,JUL,11.5833,165.5,-27,UW,WE,550,IP,Mk-3A
Sandstone,X-ray,1948,APR,11.67,162.24,60,AS-T,WR,55,,Mk-3
Sandstone,Yoke,1948,APR,11.62,162.33,60,AS-T,WR,,,Mk-3
Sandstone,Zebra,1948,MAY,11.56,162.35,60,AS-T,WR,,,Mk-3
Ranger,Able,1951,JAN,36.8,-115.95,320,A-AD,WR,,,Mk-4
Ranger,Baker,1951,JAN,36.8,-115.95,330,A-AD,WR,,,Mk-4
Ranger,Easy,1951,FEB,36.8,-115.95,330,A-AD,WR,,,Mk-4
Ranger,Baker-2,1951,FEB,36.8,-115.95,340,A-AD,WR,,,Mk-4
Ranger,Fox,1951,FEB,36.8,-115.95,440,A-AD,WR,,,Mk-6
Greenhouse,Dog,1951,APR,11.5558,162.3544,91,AS-T,WR,238,,Mk-6D
Greenhouse,Easy,1951,APR,11.6689,162.2403,91,AS-T,WR,255,,TX-5D
Greenhouse,George,1951,MAY,11.6269,162.3147,62,AS-T,WR,347,,
Greenhouse,Item,1951,MAY,11.673,162.2486,62,AS-T,WR,,BF,
Buster,Able,1951,OCT,37.0839,-116.0239,30,AS-T,WR,,,
Buster,Baker,1951,OCT,37.085,-116.02,340,A-AD,WR,,,Mk-4
Buster,Charlie,1951,OCT,37.085,-116.0203,350,A-AD,WR,,,Mk-4
Buster,Dog,1951,NOV,37.0847,-116.0197,430,A-AD,WR,,,Mk-4
Buster,Easy,1951,NOV,37.0919,-116.0244,400,A-AD,WR,,,TX-7E
Jangle,Sugar,1951,NOV,37.1317,-116.0386,1.1,AS,WE,27,,Mk-6
Jangle,Uncle,1951,NOV,37.1697,-116.0425,-10,CR,WE,79,,
Tumbler,Able,1952,APR,36.7983,-115.9356,240,A-AD,WE,,,Mk-4
Tumbler,Baker,1952,APR,37.0842,-116.0194,340,A-AD,WE,,,Mk-4
Tumbler,Charlie,1952,APR,37.0844,-116.0203,1050,A-AD,WR,,,Mk-4
Snapper,Dog,1952,MAY,37.0842,-116.0203,320,A-AD,WR,,,TX-7
Snapper,Easy,1952,MAY,37.0531,-116.1056,90,AS-T,WR,,,TX-12
Snapper,Fox,1952,MAY,37.0956,-116.1056,90,AS-T,WR,,,Mk-5
Snapper,George,1952,JUN,37.0481,-116.0211,90,AS-T,WR,,,Mk-5
Snapper,How,1952,JUN,37.1386,-116.1178,90,AS-T,WR,,,TX-12
Ivy,Mike,1952,OCT,11.2372,162.1964,10,AS,WR,1902,TN,
Ivy,King,1952,NOV,11.5622,162.3525,450,A-AD,WR,,FS,Mk-18F
Upshot-Knothole,Annie,1953,MAR,37.0478,-116.0211,90,AS-T,WR,,,Mk-5
Upshot-Knothole,Nancy,1953,MAR,37.0956,-116.1028,90,AS-T,WR,,,TX-15
Upshot-Knothole,Ruth,1953,MAR,37.0828,-116.0239,90,AS-T,WR,,,
Upshot-Knothole,Dixie,1953,APR,37.0847,-116.018,1830,A-AD,WR,,,Mk-5D
Upshot-Knothole,Ray,1953,APR,37.0989,-116.0925,30,AS-T,WR,,,
Upshot-Knothole,Badger,1953,APR,37.1383,-116.1178,90,AS-T,WR,,,TX-16
Upshot-Knothole,Simon,1953,APR,37.0531,-116.1028,90,AS-T,WR,,,TX-17/24
Upshot-Knothole,Encore,1953,MAY,36.8,-115.9289,740,A-AD,WE,,,Mk-6D
Upshot-Knothole,Harry,1953,MAY,37.0403,-116.0253,90,AS-T,WR,,,TX-13D
Upshot-Knothole,Grable,1953,MAY,36.7931,-115.9147,160,A,WR,,,Mk-9 AFAP
Upshot-Knothole,Climax,1953,JUN,37.0875,-116.0183,410,A-AD,WR,,,Mk-7
Castle,Bravo,1954,FEB,11.6908,165.2736,2,AS,WR,1984,TN,TX-21
