SERIES,SHOT,YEAR,MON,LAT,LONG,HOB,TYPE,PUR,CRAT,DEVIC,WARHEAD
Niblick,Fore,1964,JAN,37.14228,-116.04911,-490.42,UG-S,WR,317,kCi,
Niblick,Oconto,1964,JAN,37.12642,-116.03633,-264.69,UG-S,WR,293,kCi,
Niblick,Club,1964,JAN,37.13621,-116.07066,-180.44,UG-S,WR,30,Ci,
Niblick,Solendon,1964,FEB,37.05661,-116.02924,-150.17,UG-S,WR,,Ci,
Niblick,Bunker,1964,FEB,37.13202,-116.03234,-226.77,UG-S,WR,,0 Ci,
Niblick,Bonefish,1964,FEB,37.05938,-116.03332,-300.76,UG-S,WR,180,Ci,
Niblick,Mackerel,1964,FEB,37.09563,-116.05072,-333.71,UG-S,WR,,,
Niblick,Klickitat,1964,FEB,37.15089,-116.04011,-492.56,UG-S,PR,280,Ci,
Niblick,Handicap,1964,MAR,37.12993,-116.03634,-143.26,UG-S,WR,,Ci,
Niblick,Pike,1964,MAR,37.05047,-116.01147,-114.5,UG-S,WR,73,kCi,
Niblick,Hook,1964,APR,37.12892,-116.02983,-203.67,UG-S,WR,90,0 Ci,
Niblick,Sturgeon,1964,APR,37.04392,-116.01836,-149.77,UG-S,WR,72,Ci,
Niblick,Bogey,1964,APR,37.11949,-116.03389,-118.84,UG-S,WR,,Ci,
Niblick,Turf,1964,APR,37.14958,-116.05539,-506.88,UG-S,WR,386,0 Ci,
Niblick,Pipefish,1964,APR,37.03956,-116.02664,-261.92,UG-S,WR,146,,
Niblick,Driver,1964,MAY,37.12026,-116.04029,-148.19,UG-S,WR,,Ci,
Niblick,Backswing,1964,MAY,37.11733,-116.03894,-163.37,UG-S,WR,146,Ci,
Niblick,Minnow,1964,MAY,37.04169,-116.01222,-241.34,UG-S,WR,127,,
Niblick,Ace,1964,JUN,37.14861,-116.076,-262.74,UG-S,PR,,i,
Niblick,Bitterling,1964,JUN,37.03894,-116.01225,-192.6,UG-S,WR,90,,
Niblick,Duffer,1964,JUN,37.16599,-116.03841,-445.71,UG-S,WR,,Ci,
Niblick,Fade,1964,JUN,37.11114,-116.02878,-205.16,UG-S,WR,127,Ci,
