SERIES,SHOT,YEAR,MON,LAT,LONG,HOB,TYPE,PUR,CRAT,DEVIC,WARHEAD
,,1964,MAR,49.82083,78.09861,-260,UG-T,WE,,,
,,1964,MAY,49.81778,78.09389,,UG-T,WR,,,
,,1964,JUN,49.77472,77.98806,,UG-T,FS,,,
,,1964,JUL,49.815,78.09306,,UG-T,FS,,,
,,1964,AUG,49.82056,78.08194,-130,UG-T,WR,,,
,,1964,SEP,73.667,54.533,,UG-T,FS,,,
,,1964,SEP,49.82083,78.09861,-400,UG-T,FS,,,
,,1964,OCT,73.387,54.985,,UG-T,PR,,,
,,1964,NOV,49.81389,78.13361,-178,UG-T,PR,,,
,,1965,JAN,49.935,79.00936,-262,UG-S,I-EM,,,
,,1965,FEB,49.77306,77.99139,,UG-T,FS,,,
,,1965,MAR,49.82972,78.0575,,UG-T,WR,,,
,,1965,MAR,49.77472,77.98806,-1340,UG-T,WR,,,
,,1965,MAR,52.9,56.5,-1375,UG-S,I-OS,,,
,,1965,MAR,52.9,56.5,,UG-S,I-OS,,,
,,1965,MAY,49.77306,77.99139,-1350,UG-T,WR,,,
,,1965,JUN,52.9,56.5,,UG-S,I-OS,,,
,,1965,JUN,49.83056,78.05778,,UG-T,PR,,,
,,1965,JUL,49.785,77.99694,,UG-T,FS,,,
,,1965,SEP,49.81722,78.1425,,UG-T,WR,,,
,,1965,OCT,49.83056,78.10139,-48,UG-T,WR,,,
,,1965,OCT,49.99064,77.63572,,UG-S,I-EM,,,
,,1965,NOV,49.82833,78.05972,,UG-T,WR,,,
,,1965,DEC,49.81167,78.1075,-320,UG-T,PR,,,
,,1966,FEB,49.81417,78.13083,-310,UG-T,PR,,,
,,1966,MAR,49.75167,78.00833,,UG-T,WR,,,
,,1966,APR,49.81778,78.09389,-165,UG-T,PR,,,
,,1966,APR,47.829,47.935,,UG-S,I-CV,,,
,,1966,MAY,49.73611,78.10722,,UG-T,PR,,,
,,1966,JUN,49.83917,78.07083,,UG-T,PR,,,
,,1966,JUL,49.73556,78.10472,,UG-T,WR,,,
,,1966,AUG,49.75889,78.04861,,UG-T,WR,,,
,,1966,AUG,49.83056,78.10139,,UG-T,PR,,,
,,1966,SEP,49.83056,78.05778,-1532,UG-T,FS,,,
,,1966,SEP,38.968,64.517,,UG-S,I-FE,,,
,,1966,OCT,49.74194,78.02556,-700,UG-T,WR,,,
,,1966,OCT,73.387,54.836,,UG-T,WR,,,
,,1966,OCT,73.4,54.8,,UG-T,WR,,,
,,1966,OCT,49.78472,77.99944,,UG-T,WR,,,
,,1966,NOV,49.82972,78.0575,,UG-T,WR,,,
,,1966,DEC,49.74028,78.03083,,UG-T,WR,,,
,,1966,DEC,49.74028,78.03083,,UG-T,PR,,,
,,1966,DEC,49.92458,77.74722,,UG-S,PR,,,
,,1967,JAN,49.77306,77.99,,UG-T,WR,,,
,,1967,JAN,49.77306,77.99,,UG-T,WR,,,
,,1967,FEB,49.73944,78.08639,,UG-T,FS,,,
,,1967,MAR,49.75333,78.05361,,UG-T,WR,,,
,,1967,MAR,49.75333,78.05361,,UG-T,WE,,,
,,1967,APR,49.73611,78.10722,,UG-T,PR,,,
,,1967,MAY,49.75167,78.00833,,UG-T,PR,,,
,,1967,MAY,49.75167,78.00833,,UG-T,PR,,,
,,1967,JUN,49.82222,78.04333,,UG-T,WR,,,
,,1967,JUL,49.84417,78.11556,,UG-T,PR,,,
,,1967,AUG,49.75444,78.05028,,UG-T,WR,,,
,,1967,AUG,49.75444,78.05028,,UG-T,WR,,,
,,1967,SEP,49.74194,78.02556,,UG-T,WR,,,
,,1967,SEP,49.93719,77.72811,,UG-S,WR,,,
,,1967,SEP,49.95964,77.69106,-170,UG-S,WR,,,
,,1967,OCT,57.7,65.2,,UG-S,I-CV,,,
,,1967,OCT,49.78444,77.99778,,UG-T,PR,,,
,,1967,OCT,49.78444,77.99778,-600,UG-T,PR,,,
,,1967,OCT,73.39,54.81,-500,UG-T,WR,,,
,,1967,OCT,73.4,54.8,,UG-T,WR,,,
,,1967,OCT,49.79722,77.99944,,UG-T,WR,,,
,,1967,NOV,49.94194,77.68683,,UG-S,WR,,,
,,1967,DEC,49.81833,78.17083,,UG-T,WR,,,
,,1968,JAN,49.75389,78.04694,,UG-T,PR,,,
,,1968,APR,49.84167,78.10722,-2440,UG-T,WR,,,
,,1968,MAY,38.918,65.032,,UG-S,I-FE,,,
,,1968,MAY,49.83333,78.09278,,UG-T,WR,,,
,,1968,JUN,49.79861,78.15,,UG-T,WR,,,
,,1968,JUN,49.98025,78.9855,-590,UG-S,FS,,,
,,1968,JUL,47.909,47.912,-172,UG-S,I-CV,,,
,,1968,JUL,49.75556,78.09917,,UG-T,WR,,,
,,1968,JUL,49.75556,78.09917,,UG-T,WR,,,
,,1968,AUG,49.82056,78.08111,,UG-T,WR,,,
,,1968,AUG,49.82056,78.08111,,UG-T,SE,,,
,,1968,SEP,49.73806,78.08083,,UG-T,WE,,,
,,1968,SEP,49.80417,78.10556,-31.4,UG-T,WE,,,
,,1968,OCT,49.72786,78.48628,,UG-S,I-EM,,,
,,1968,OCT,49.83333,78.09278,-1000,UG-T,WR,,,
,,1968,NOV,73.387,54.858,,UG-T,WR,,,
,,1968,NOV,73.387,54.858,,UG-T,WR,,,
,,1968,NOV,73.387,54.858,,UG-T,WR,,,
,,1968,NOV,49.79972,78.14444,-31.4,UG-T,PR,,,
,,1968,NOV,49.712,78.461,,UG-S,I-EM,,,
,,1968,NOV,49.7,78.5,,UG-S,I-EM,,,
,,1968,NOV,49.7,78.5,-194,UG-S,I-EM,,,
,,1968,DEC,49.74083,78.08778,,UG-T,PR,,,
,,1969,MAR,49.82833,78.05972,,UG-T,WR,,,
,,1969,APR,49.75333,78.05361,,UG-T,WR,,,
,,1969,APR,49.73556,78.10472,,UG-T,PR,,,
,,1969,MAY,49.76778,78.08167,,UG-T,WR,,,
,,1969,MAY,49.95031,77.69422,,UG-S,WR,,,
,,1969,JUL,49.75417,78.10917,,UG-T,PR,,,
,,1969,JUL,49.75417,78.10917,,UG-T,WR,,,
,,1969,JUL,49.81972,78.13722,-1210,UG-T,WR,,,
,,1969,SEP,57.22,55.393,-1210,UG-S,I-OS,,,
,,1969,SEP,57.22,55.417,,UG-S,I-OS,,,
,,1969,SEP,49.77778,77.98639,,UG-T,PR,,,
,,1969,SEP,49.77778,77.98639,-725,UG-T,PR,,,
,,1969,SEP,45.848,42.6,,UG-S,I-OS,,,
,,1969,OCT,49.78639,78.10806,,UG-T,WR,,,
,,1969,OCT,49.78639,78.10806,-500,UG-T,WR,,,
,,1969,OCT,73.39,54.787,,UG-T,WR,,,
,,1969,OCT,73.39,54.787,-520,UG-T,WR,,,
,,1969,OCT,73.4,54.8,,UG-T,WR,,,
,,1969,OCT,49.84417,78.11556,,UG-T,SE,,,
,,1969,NOV,49.83667,78.05972,,UG-T,PR,,,
,,1969,NOV,49.92428,78.95575,-410,UG-S,WR,,,
,,1969,DEC,43.867,54.8,,UG-S,I-EM,,,
,,1969,DEC,49.93733,77.71422,,UG-S,WR,,,
,,1969,DEC,49.73222,78.10444,,UG-T,PR,,,
,,1970,JAN,49.79222,78.11306,,UG-T,WE,,,
,,1970,JAN,49.79222,78.11306,,UG-T,WE,,,
,,1970,JAN,49.79222,78.11306,,UG-T,WE,,,
,,1970,FEB,49.73083,78.1025,,UG-T,SE,,,
